0,318460,---,[Contributions] [Compatibility] Failed to open error log in I20100629-2126,major
0,319121,---,[Workbench] [Compatibility] 'Breakpoints' view goes dirty but cannot be saved,normal
1,319182,---,[Trim] [Compatibility] calling removeGui on menuBar causes TrimmedPartLayout.layout(*) exception,major
0,319694,---,[Contributions] [Compatibility] Some actions in view toolbars may be disabled until you activate the part,normal
0,319983,---,[Workbench] [Compatibility] Reassess how selection should work in PageBookView,normal
0,320161,---,"[About] [Compatibility] About dialog shows scroll bars, need to backport bug 292868",minor
0,320262,---,[Perspectives] [Compatibility] switching back to the Java perspective gives me a blank,normal
0,320672,---,[WorkbenchParts] [Compatibility] SWTException when activating an editor with stale content causes,normal
0,320727,---,[WorkbenchParts] IPartListener2.partVisible is called twice,normal
0,320733,---,[Contributions] [WorkbenchLauncher] [Compatibility] Exception logged once when bringing up the 'Team' submenu,normal
0,320739,---,[Contributions] [Compatibility] 'Content Assist' submenu of the 'Edit' menu appears in the wrong place,normal
2,320932,---,[Workbench] [Compatibility] Can't start Eclipse 4 SDK with proxy authentication,critical
0,321864,---,"[Compatibility] Parts, placeholders, editor areas, and what they mean to the 3.x API",normal
1,323075,---,[RCP] Headless usage of Eclipse 4 RCP (without a Window) - Context of model elements should be explicitly created and filled,normal
0,325779,---,[Trim] [Compatibility] minimized stack is gone,normal
0,331131,---,[Workbench] [Compatibility] Closing a project generates errors,minor
0,332130,---,[Contexts] [Compatibility] create runtime contexts correctly,normal
0,336612,---,[Workbench] Save blocks UI instead of reporting progress,major
0,338470,---,[Trim] Minimized stacks break lazy loading rules,normal
0,338827,---,[Commands] Regression in 3.6.2 handler enabledWhen core expression,normal
0,339352,---,[Compatibility] [DND] hitting ESC caused an NPE,normal
3,339740,---,[Perspectives] Examine the layout behavior,normal
0,341346,---,[Perspectives] [Compatibility] part does not exist ... but it does,normal
0,342911,---,[ViewMgmt] [Compatibility] DBCS4.1 Problems view icon does not indicate error/warning in Eclipse 4.1,minor
0,344121,---,[Contributions] [Compatibility] Lazy loading does not appear to work for a dynamic contribution to popup:org.eclipse.ui.popup.any,normal
0,344638,---,[ErrorHandling] Enhance the Logger's 'SHOW' dialog with one the contains the Error View,enhancement
3,345608,---,[patch][Markers] Horrible performance removing markers from Problems View taking hours to do the job,normal
0,345762,---,[Contributions] Tool bar in the photo demo's tab folder looks awful,major
0,347643,---,[Contributions] [Compatibility] Editor actions linger in toolbar when opening new workbench window,normal
0,347829,---,[Contributions] PropertyTester not getting fired for objectContribution(s) unless view from providing plug-in is loaded.,normal
1,347843,---,[Workbench] [Compatibility] Save handling has changed in 3.x,normal
0,348250,---,[RenderingEngine] Context's are not correctly reparented in createGui,normal
0,348331,---,[Contributions] [Dialogs] Customize Perspective dialog - disabled/unavailable tree item labels not visible,normal
1,348940,---,[Trim] [UI] Dragging a stack into the shared area leaves its min/max buttons showing,normal
0,349144,---,[EditorMgmt] [UI] Editor Stack selection needs refinement,normal
0,350799,---,[Commands] Toolbar drop downs do not appear (menuContribution),normal
1,352690,---,[DND] EditorAreaDropAdapter should ignore empty events,normal
1,352938,---,[Commands] two propertyTester are crashing on selection with two different objects,normal
0,355426,---,[Model] [Compatibility] Isolate all model relative searching code into one method,normal
3,356457,---,"[Markers] Problems view loses its ""group by"" state when being closed",normal
0,356787,---,[Wizards] Widget Dispose Error,normal
1,357652,---,[Compatibility] Allow model contribution to be merged into the model AFTER the compat layer,normal
1,359597,---,[Perspectives] Reset perspective with views in shared area should reset views in all effected perspectives,normal
1,360815,---,[Compatibility] Cannot retrieve model item from within a legacy handler,normal
2,361133,---,[Compatibility] WorkbenchWindowAdvisor.createWindowContents(Shell) not called any more,major
